"","Season","Week","Name","Position","Team","Home.Away","Opponent","FanDuel.pts","FanDuel.sal"
"281",2015,12,"Ryan Griffin","TE","HOU","HOME","NOR",15.2,4500
"282",2015,12,"Travis Kelce","TE","KAN","HOME","BUF",14.9,5800
"283",2015,12,"Scott Chandler","TE","NWE","AWAY","DEN",14.3,4600
"284",2015,12,"Jordan Reed","TE","WAS","HOME","NYG",13.8,5800
"285",2015,12,"Cameron Brate","TE","TAM","AWAY","IND",13.8,4600
"286",2015,12,"Gary Barnidge","TE","CLE","HOME","BAL",12.6,6500
"287",2015,12,"Delanie Walker","TE","TEN","HOME","OAK",12.1,6100
"288",2015,12,"Tyler Eifert","TE","CIN","HOME","STL",11.5,6200
"289",2015,12,"Will Tye","TE","NYG","AWAY","WAS",10.4,4900
"290",2015,12,"Jimmy Graham","TE","SEA","HOME","PIT",9.5,5500
"291",2015,12,"Greg Olsen","TE","CAR","AWAY","DAL",9.5,6400
"292",2015,12,"Jacob Tamme","TE","ATL","HOME","MIN",9.4,5100
"293",2015,12,"Kyle Rudolph","TE","MIN","AWAY","ATL",8.8,5000
"294",2015,12,"Craig Stevens","TE","TEN","HOME","OAK",8.5,4500
"295",2015,12,"Blake Bell","TE","SFO","HOME","ARI",8.2,4500
"296",2015,12,"Zach Miller","TE","CHI","AWAY","GNB",8,5100
"297",2015,12,"Brent Celek","TE","PHI","AWAY","DET",8,5800
"298",2015,12,"Jared Cook","TE","STL","AWAY","CIN",7.8,4700
"299",2015,12,"Owen Daniels","TE","DEN","HOME","NWE",7.3,5200
"300",2015,12,"Ben Watson","TE","NOR","AWAY","HOU",7.3,5400
"301",2015,12,"Heath Miller","TE","PIT","AWAY","SEA",7,5300
"302",2015,12,"Trey Burton","TE","PHI","AWAY","DET",5.9,4500
"303",2015,12,"Charles Clay","TE","BUF","AWAY","KAN",5.6,5300
"304",2015,12,"Jason Witten","TE","DAL","HOME","CAR",5.6,5600
"305",2015,12,"Richard Rodgers","TE","GNB","HOME","CHI",5,5200
"306",2015,12,"Coby Fleener","TE","IND","HOME","TAM",4.2,5100
"307",2015,12,"Eric Ebron","TE","DET","HOME","PHI",3.8,5100
"308",2015,12,"Mychal Rivera","TE","OAK","AWAY","TEN",3.8,4600
"309",2015,12,"Crockett Gillmore","TE","BAL","AWAY","CLE",3.5,5600
"310",2015,12,"Jesse James","TE","PIT","AWAY","SEA",3.3,4700
"311",2015,12,"Lance Kendricks","TE","STL","AWAY","CIN",3.2,4800
"312",2015,12,"Anthony Fasano","TE","TEN","HOME","OAK",3.2,4500
"313",2015,12,"C.J. Fiedorowicz","TE","HOU","HOME","NOR",3,4500
"314",2015,12,"Marcedes Lewis","TE","JAC","HOME","SDG",2.9,4500
"315",2015,12,"Dwayne Allen","TE","IND","HOME","TAM",2.9,4600
"316",2015,12,"Rhett Ellison","TE","MIN","AWAY","ATL",2.8,4500
"317",2015,12,"Brandon Pettigrew","TE","DET","HOME","PHI",2.6,4500
"318",2015,12,"Ladarius Green","TE","SDG","AWAY","JAC",2.4,5000
"319",2015,12,"Jordan Cameron","TE","MIA","AWAY","NYJ",2.3,5100
"320",2015,12,"Vernon Davis","TE","DEN","HOME","NWE",2,5200
"321",2015,12,"Justin Perillo","TE","GNB","HOME","CHI",1.9,4600
"322",2015,12,"Clive Walford","TE","OAK","AWAY","TEN",1.9,4700
"323",2015,12,"Luke Willson","TE","SEA","HOME","PIT",1.7,4500
"324",2015,12,"Clay Harbor","TE","JAC","HOME","SDG",1.7,4500
"325",2015,12,"Nick Boyle","TE","BAL","AWAY","CLE",1.5,4500
"326",2015,12,"Jermaine Gresham","TE","ARI","AWAY","SFO",1.4,4500
"327",2015,12,"Derek Carrier","TE","WAS","HOME","NYG",1.1,4900
"328",2015,12,"Jack Doyle","TE","IND","HOME","TAM",1,4500
"329",2015,12,"Tyler Kroft","TE","CIN","HOME","STL",0.9,4500
"330",2015,12,"Lee Smith","TE","OAK","AWAY","TEN",0.7,4500
"331",2015,12,"Cory Harkey","TE","STL","AWAY","CIN",0.7,4500
"332",2015,12,"Dion Sims","TE","MIA","AWAY","NYJ",0.4,4600
"333",2015,12,"Gavin Escobar","TE","DAL","HOME","CAR",0.3,4500
"334",2015,12,"Garrett Celek","TE","SFO","HOME","ARI",0,4800
"335",2015,12,"Matthew Mulligan","TE","BUF","AWAY","KAN",0,4500
"336",2015,12,"Darren Fells","TE","ARI","AWAY","SFO",0,4800
"337",2015,12,"Kellen Davis","TE","NYJ","HOME","MIA",0,4500
"338",2015,12,"Troy Niklas","TE","ARI","AWAY","SFO",0,4500
"339",2015,12,"Jeff Cumberland","TE","NYJ","HOME","MIA",0,4500
"340",2015,12,"Phillip Supernaw","TE","TEN","HOME","OAK",0,4500
