Id,Position,First Name,Last Name,Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Starter
22234,RB,Chris,Polk,Chris Polk,4.9,11,5200,NE@HOU,HOU,NWE,,,Y
22991,RB,Jonathan,Grimes,Jonathan Grimes,4.3,10,4600,NE@HOU,HOU,NWE,,,Y
6840,RB,Frank,Gore,Frank Gore,11.1,12,6100,IND@JAC,IND,JAX,,,Y
6497,RB,Ahmad,Bradshaw,Ahmad Bradshaw,6.3,6,5100,IND@JAC,IND,JAX,IR,Wrist,Y
22130,RB,Dan,Herron,Dan Herron,1.9,6,4500,IND@JAC,IND,JAX,,,Y
31061,RB,T.J.,Yeldon,T.J. Yeldon,11.9,11,6400,IND@JAC,JAX,IND,,,Y
28088,RB,Denard,Robinson,Denard Robinson,2.4,9,4800,IND@JAC,JAX,IND,,,Y
34275,RB,Storm,Johnson,Storm Johnson,0,0,4500,IND@JAC,JAX,IND,,,Y
11479,RB,Toby,Gerhart,Toby Gerhart,1.2,7,4500,IND@JAC,JAX,IND,IR,Groin,Y
22029,RB,Bernard,Pierce,Bernard Pierce,0.5,7,4500,IND@JAC,JAX,IND,IR,Calf,Y
54687,RB,Charcandrick,West,Charcandrick West,8.3,11,5800,SD@KC,KAN,SD,,,Y
31459,RB,Spencer,Ware,Spencer Ware,8.5,7,5800,SD@KC,KAN,SD,,,Y
31073,RB,Knile,Davis,Knile Davis,1.5,10,4500,SD@KC,KAN,SD,,,Y
22037,RB,Lamar,Miller,Lamar Miller,13.5,12,6600,NYG@MIA,MIA,NYG,,,Y
46882,RB,Jay,Ajayi,Jay Ajayi,4.9,5,4600,NYG@MIA,MIA,NYG,,,Y
27441,RB,Damien,Williams,Damien Williams,1.6,12,4600,NYG@MIA,MIA,NYG,,,Y
22774,RB,Jonas,Gray,Jonas Gray,3.7,6,4500,NYG@MIA,MIA,NYG,,,Y
11779,RB,LeGarrette,Blount,LeGarrette Blount,10.4,11,6300,NE@HOU,NWE,HOU,,,Y
28930,RB,James,White,James White,5.4,10,6300,NE@HOU,NWE,HOU,,,Y
22898,RB,Brandon,Bolden,Brandon Bolden,3.2,11,5100,NE@HOU,NWE,HOU,,,Y
32410,RB,Trey,Williams,Trey Williams,0,0,4500,NE@HOU,NWE,HOU,,,Y
14211,RB,Mark,Ingram,Mark Ingram,14.9,12,7300,NO@TB,NOR,TAM,,,Y
11419,RB,C.J.,Spiller,C.J. Spiller,5.4,11,4800,NO@TB,NOR,TAM,,,Y
27199,RB,Marcus,Murphy,Marcus Murphy,0.3,12,4500,NO@TB,NOR,TAM,,,Y
11671,RB,Erik,Lorig,Erik Lorig,0,0,4500,NO@TB,NOR,TAM,,,Y
6828,RB,Tim,Hightower,Tim Hightower,1.2,4,4500,NO@TB,NOR,TAM,,,Y
14245,RB,Shane,Vereen,Shane Vereen,8,12,5100,NYG@MIA,NYG,MIA,,,Y
8052,RB,Rashad,Jennings,Rashad Jennings,7.1,12,4800,NYG@MIA,NYG,MIA,,,Y
15032,RB,Henry,Hynoski,Henry Hynoski,0,0,4500,NYG@MIA,NYG,MIA,,,Y
33691,RB,Orleans,Darkwa,Orleans Darkwa,1.7,12,4500,NYG@MIA,NYG,MIA,,,Y
25694,RB,Andre,Williams,Andre Williams,2.5,12,4500,NYG@MIA,NYG,MIA,,,Y
11864,RB,Christopher,Ivory,Christopher Ivory,14.3,11,7100,TEN@NYJ,NYJ,TEN,,,Y
14320,RB,Bilal,Powell,Bilal Powell,8.3,8,4800,TEN@NYJ,NYJ,TEN,,,Y
